abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,uri,print_section,print_page,subsection_name,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization
"His father was “an honest, loving man” but then fell under the sway of MAGA.",https://www.nytimes.com/2024/09/30/opinion/jan6-reffitt-fatherland.html,"His father was “an honest, loving man” but then fell under the sway of MAGA.","Last Tuesday evening in Midtown Manhattan, Jackson Reffitt, a 22-year-old from Texas, cried through the first professional play he’d ever seen, which was about him.",The New York Times,,,2024-10-01T01:26:00+0000,article,OpEd,Opinion,Op-Ed,nyt://article/7a96ab9b-1156-561e-86d9-101620097939,1387,nyt://article/7a96ab9b-1156-561e-86d9-101620097939,A,24,NA,How Trump Tore One Family Apart,Michelle Goldberg,NA,How Trump Tore One Family Apart,NA,NA,NA,By Michelle Goldberg,,NA
Senator JD Vance addressed some of the party’s biggest donors at a private sit-down before the American Opportunity Alliance.,https://www.nytimes.com/2024/09/30/us/politics/vance-pitches-republican-megadonors-on-eve-of-debate.html,Senator JD Vance addressed some of the party’s biggest donors at a private sit-down before the American Opportunity Alliance.,Senator JD Vance of Ohio took a break from debate preparation on Monday evening to make a direct pitch to the Republican Party’s billionaire class.,The New York Times,,,2024-10-01T03:51:03+0000,article,Politics,U.S.,News,nyt://article/f46eba06-4129-5b87-a67c-666d1b11562e,509,nyt://article/f46eba06-4129-5b87-a67c-666d1b11562e,NA,NA,Politics,Vance Pitches Republican Megadonors on Eve of Debate,NA,NA,,NA,NA,NA,"By Theodore Schleifer, Maggie Haberman and Jonathan Swan",,NA
"As the two running mates hold their first debate in New York, here is what to be on the lookout for.",https://www.nytimes.com/2024/10/01/us/politics/vance-walz-debate-what-to-watch.html,"As the two running mates hold their first debate in New York, here is what to be on the lookout for.","The vice-presidential debate between Senator JD Vance of Ohio and Gov. Tim Walz of Minnesota may not have the sizzle of last month’s confrontation between former President Donald J. Trump and Vice President Kamala Harris, but as the last scheduled debate on the 2024 calendar it could still alter the race.",The New York Times,,,2024-10-01T04:01:18+0000,article,Politics,U.S.,News,nyt://article/b314a99f-41d3-500f-9144-959b3ae3bb3b,1403,nyt://article/b314a99f-41d3-500f-9144-959b3ae3bb3b,A,16,Politics,What to Watch For in Tuesday’s Vance-Walz Debate,NA,NA,Vice-Presidential Debate Is Chance to Help Define Top of the Ticket,NA,NA,NA,"By Shane Goldmacher, Katie Glueck and Michael C. Bender",,NA
"Curtis Bashaw, a Republican hotel owner, is running a long-shot campaign to represent New Jersey in the Senate against Andy Kim, a Democratic congressman.",https://www.nytimes.com/2024/10/01/nyregion/nj-senate-menendez-republican-bashaw.html,"Curtis Bashaw, a Republican hotel owner, is running a long-shot campaign to represent New Jersey in the Senate against Andy Kim, a Democratic congressman.","Curtis Bashaw maneuvers his lanky body through a maze of picnic tables, stopping every few steps to repeat his upbeat introductory pitch to voters waiting for lunch on a recent weekday.",The New York Times,,,2024-10-01T07:00:10+0000,article,Metro,New York,News,nyt://article/f8c1a666-763f-5d1e-b93c-8a727abd2289,1408,nyt://article/f8c1a666-763f-5d1e-b93c-8a727abd2289,A,16,NA,Could Republicans Gain a Senate Seat After the Menendez Scandal?,NA,NA,Could Republicans Gain New Jersey Senate Seat?,NA,NA,NA,By Tracey Tully,,NA
"“Good news: He stopped talking about Hannibal Lecter,” Jimmy Fallon said. “Bad news: He suggested we do ‘The Purge’ instead.”",https://www.nytimes.com/2024/10/01/arts/television/late-night-trump-the-purge.html,"“Good news: He stopped talking about Hannibal Lecter,” Jimmy Fallon said. “Bad news: He suggested we do ‘The Purge’ instead.”","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",The New York Times,,,2024-10-01T07:56:50+0000,article,Culture,Arts,News,nyt://article/bf2ffcd9-b673-506e-813a-ac4373df1b57,462,nyt://article/bf2ffcd9-b673-506e-813a-ac4373df1b57,NA,NA,Television,Late Night Slams Trump’s Idea to Adapt ‘The Purge’,Best of Late Night,NA,,NA,NA,NA,By Trish Bendix,,NA
Track the early vote for the 2024 election.,https://www.nytimes.com/interactive/2024/us/elections/early-vote-tracker-2024.html,Track the early vote for the 2024 election.,Track the early vote for the 2024 election.,The New York Times,,,2024-10-01T08:57:01+0000,multimedia,U.S.,U.S.,Interactive Feature,nyt://interactive/e79c9d5c-024b-57da-b38c-a5b443e1fc20,0,nyt://interactive/e79c9d5c-024b-57da-b38c-a5b443e1fc20,NA,NA,Elections,Early Voting Has Started. Here’s What to Watch.,NA,NA,,NA,NA,NA,By Keith Collins and Josh Williams,,NA
Why he represents a grave risk to the rule of law in American democracy.,https://www.nytimes.com/2024/10/01/opinion/jd-vance-vice-president.html,Why he represents a grave risk to the rule of law in American democracy.,"On Tuesday night, JD Vance will face Tim Walz in what is likely to be the only vice-presidential debate of the 2024 election. As American voters assess Mr. Vance, they should scrutinize whether he has demonstrated the fundamental fidelity to the Constitution that the office requires.",The New York Times,,,2024-10-01T09:02:49+0000,article,OpEd,Opinion,Op-Ed,nyt://article/9394fd5a-f43b-5946-9b8c-027cad30dca2,893,nyt://article/9394fd5a-f43b-5946-9b8c-027cad30dca2,NA,NA,NA,How JD Vance Disqualified Himself From Becoming Vice President,Guest Essay,NA,,NA,NA,NA,By Matthew A. Seligman,,NA
The vice president is an institutionalist politician. Her membership in a “Divine Nine” organization helps explain why.,https://www.nytimes.com/2024/10/01/opinion/harris-black-sororities-fraternities.html,The vice president is an institutionalist politician. Her membership in a “Divine Nine” organization helps explain why.,"A few weeks ago during the presidential debate, Donald Trump chided Kamala Harris for not attending Prime Minister Benjamin Netanyahu’s speech to a joint meeting of Congress in July because, Trump said, “She was at a sorority party of hers. She wanted to go to the sorority party.”",The New York Times,,,2024-10-01T09:03:02+0000,article,OpEd,Opinion,Op-Ed,nyt://article/df786951-6a92-587a-a7b9-308a67649d49,1500,nyt://article/df786951-6a92-587a-a7b9-308a67649d49,NA,NA,NA,Trump Thinks Harris’s Sisterhood Is a ‘Sorority Party.’ He Should Think Again.,Charles M. Blow,NA,,NA,NA,NA,By Charles M. Blow,,NA
"Georgia, one of the most important battleground states in the country, finds itself back in the news after Democrats sued the Georgia State Election Board on Monday.",https://www.nytimes.com/video/us/elections/100000009726154/why-georgias-election-board-is-being-sued.html,"Georgia, one of the most important battleground states in the country, finds itself back in the news after Democrats sued the Georgia State Election Board on Monday.","Georgia, one of the most important battleground states in the country, finds itself back in the news after Democrats sued the Georgia State Election Board on Monday.",The New York Times,,,2024-10-01T09:03:11+0000,multimedia,,U.S.,Video,nyt://video/cc387d11-10df-5b50-9b17-96bec0b5309f,0,nyt://video/cc387d11-10df-5b50-9b17-96bec0b5309f,NA,NA,Elections,Why Georgia’s Election Board Is Being Sued,NA,NA,,NA,NA,NA,"By Nick Corasaniti, Gabriel Blanco, Karen Hanley, Christina Shaman and Laura Salaberry",,NA
One of the most surprising surrogates of 2024 argues that Harris is best for the economy — and therefore for everyone.,https://www.nytimes.com/2024/10/01/podcasts/mark-cuban-kamala-harris-billionaires.html,One of the most surprising surrogates of 2024 argues that Harris is best for the economy — and therefore for everyone.,"At one point, he supported the presidential aspirations of Donald Trump, a fellow reality TV star and businessman.",The New York Times,,,2024-10-01T09:03:28+0000,article,Podcasts,Podcasts,News,nyt://article/57a9a8b5-3035-52b4-927f-56ae33bc5a66,261,nyt://article/57a9a8b5-3035-52b4-927f-56ae33bc5a66,NA,NA,NA,Mark Cuban on Why He’s All In for Kamala Harris,NA,NA,,NA,NA,NA,By Astead W. Herndon and Anna Foley,,NA
